customer_unique_key,customer_salary,customer_age_year,customer_pincode,customer_city
3207157596,23154,27,122505,Delhi
3114584060,88419,47,411048,Pune
3343473429,73334,37,500081,Hyderabad
2956923386,54173,35,411014,Pune
3211707503,43183,41,560100,Bengaluru
3186522561,55822,34,530016,Visakhapatnam
2733101467,67871,36,600037,Chennai
3049704097,78570,39,600125,Chennai
2524675797,81587,43,201305,Delhi
2768607070,36942,33,603103,Chennai
2922467826,36893,33,560098,Bengaluru
2727829658,28444,32,411014,Pune
2343651027,38292,40,560013,Bengaluru
2847280650,49690,32,160002,Chandigarh
2569272677,83301,39,560017,Bengaluru
2422000821,95078,38,560077,Bengaluru
2886339828,66136,35,201301,Delhi
2364497836,70261,145,560093,Bengaluru
2581373665,48683,39,201301,Delhi
2933780756,46641,35,560045,Bengaluru
2817817328,36512,29,400004,Mumbai
2600982796,58723,35,517641,Tambaram
3087294821,95385,38,380006,Ahmedabad
3044090636,125137,37,160002,Chandigarh
2629886041,178764,36,560093,Bengaluru
2628058324,66142,38,201009,Delhi
2950152981,24487,28,411057,Pune
2819474678,27601,190,122001,Delhi
2738994780,69071,32,380028,Ahmedabad
2425746314,52798,-22,411038,Pune
2790067832,198096,41,110034,Delhi
3136666983,35226,40,122002,Delhi
3205750452,31556,29,700091,Kolkata
2667997705,25248,30,121002,Delhi
2617144458,34046,32,600002,Chennai
2957926650,199647,46,400013,Mumbai
2996912333,74093,30,560103,Bengaluru
2540469871,27425,27,570019,Mysore
2824612768,26800,27,110062,Delhi
2435091420,25629,26,560103,Bengaluru
2498073517,89623,39,560076,Bengaluru
2414581847,95692,41,500032,Hyderabad
2358457379,35078,31,401208,Mumbai
2467028817,46734,28,122003,Delhi
3165701501,32305,26,410210,Mumbai
3142227559,42446,37,560022,Bengaluru
3056567782,181613,32,400093,Mumbai
2895599819,33105,-10,411014,Pune
3206342648,74630,31,411057,Pune
2506580231,70038,38,700016,Kolkata
3227005238,36134,28,560045,Bengaluru
2352901930,36473,29,201301,Delhi
2432252616,27454,24,560037,Bengaluru
2549828465,78273,29,201301,Delhi
3075341983,25500,23,400064,Mumbai
2796920314,24201,30,560103,Belgaum
2957658396,28623,50,753010,Cuttack City
3079613942,25882,32,600002,Chennai
3028096873,50750,32,517501,Vijayawada
2421569837,29743,34,411005,Pune
2550345446,49252,39,560045,Bengaluru
3154564240,34753,25,201301,Delhi
3181705901,36810,32,501503,Hyderabad
3199676021,36429,-10,122002,Delhi
2941795058,30355,28,400706,Mumbai
2757167364,37595,41,520008,Vijayawada
2600694860,26600,41,500090,Hyderabad
3171411748,22753,29,560038,Bengaluru
2657150746,48474,34,500043,Hyderabad
2603137613,25208,27,302029,Jaipur
2874149763,51738,38,500034,Hyderabad
2693690212,20435,31,226010,Lucknow
2720238054,58566,36,560029,Bengaluru
3099992750,29951,30,412220,Pune
3117101559,62331,33,625016,Madurai
2402193650,36052,35,560045,Bengaluru
3085999193,46953,32,411057,Pune
2746451870,139050,44,560105,Bengaluru
3105790504,61583,36,400068,Mumbai
2778610795,26325,38,625001,Madurai
2627947350,51111,-10,201307,Delhi
2559855591,34869,29,122003,Delhi
2397535144,33181,28,122001,Delhi
2520247440,32420,29,560097,Bengaluru
2862044229,38479,26,121002,Delhi
2560755074,49295,35,560103,Bengaluru
2860774208,27335,26,509301,Hyderabad
2840441697,33265,44,700095,Kolkata
2672576275,21718,28,395007,Surat
3169572420,35737,32,522004,Guntur
2793527631,41033,29,452001,Indore
2815307135,44442,32,560067,Bengaluru
2827172358,25922,30,500039,Hyderabad
2674229584,54235,34,400607,Mumbai
2345082342,46089,37,560045,Bengaluru
3222369085,60853,32,560029,Bengaluru
2547141571,78559,41,500081,Hyderabad
3004567636,28987,30,110052,Delhi
2407625645,73214,39,560045,Bengaluru
2894955936,109241,48,500073,Hyderabad
2735112386,28322,33,400028,Mumbai
2538998132,83737,46,201301,Delhi
2408865558,68079,-10,110027,Delhi
2572172296,50870,32,560077,Bengaluru
3001193712,54834,38,560035,Bengaluru
2380971717,28083,39,600034,Chennai
3054043690,35137,34,641021,Coimbatore
2799855185,26843,35,600119,Chennai
2403945342,78830,31,500008,Hyderabad
2820478588,36489,34,560066,Bengaluru
2914536440,24443,27,560011,Bengaluru
3135014874,36435,30,560009,Bengaluru
3208041499,40492,24,400708,Mumbai
